SUBSTÂNCIA,PF 0%,PMC 0%,Est. Med. Margem Lucro %
ALANTOÍNA;HEPARINA SÓDICA SUÍNA,80.525,108.02,34.144675566594216
ALBENDAZOL,10.63258064516129,14.69741935483871,38.23002942871878
ALCAFTADINA,38.0,50.98,34.157894736842096
ALENDRONATO DE SÓDIO,31.6225,43.71625,38.24412997074869
ALENDRONATO DE SÓDIO TRI-HIDRATADO,59.404666666666664,82.12466666666666,38.24615350084728
ALENDRONATO DE SÓDIO TRI-HIDRATADO;COLECALCIFEROL,108.74,150.33,38.24719514438111
ALENDRONATO SÓDICO TRIHIDRATADO,143.29,198.09,38.24412031544422
ALENTUZUMABE,32336.88,44703.84,38.24413487015443
ALFA-ASFOTASE,128375.7175,172211.45500000002,34.14644011629382
ALFACORIFOLITROPINA,1266.2199999999998,1750.475,38.24414398761671
ALFACORIOGONADOTROPINA,294.74,407.46,38.243875958471854
ALFADARBEPOETINA,2892.08,3879.62,34.14635833033663
ALFADORNASE,1090.25,1507.21,38.24443934877322
ALFAELOSULFASE,3605.7,4836.92,34.14649027928003
ALFAEPOETINA,1404.7563636363636,1941.9927272727275,38.244095385029574
ALFAEPTACOGUE ATIVADO,8664.78,11978.550000000001,38.24413314590791
ALFAESTRADIOL,103.05666666666667,138.24666666666667,34.14626257398841
ALFAFOLITROPINA,910.255,1258.3725,38.243953617392926
ALFAINTERFERONA 2A,104.82,144.91,38.24651784010686
ALFAINTERFERONA 2B,1009.91,1396.1425,38.244249487578095
ALFALUTROPINA,121.62,168.13,38.24206544976154
ALFALUTROPINA;ALFAFOLITROPINA,777.4875000000001,1042.97,34.146208138394506
ALFANONACOGUE,2042.29,2823.3450000000003,38.24407895058979
ALFAOXOFENILPROPIONATO DE CÁLCIO;RACEALFAOXOGAMAMETILPENTANOATO DE CÁLCIO;TRIPTOFANO;RACEALFA-HIDROXIGAMAMETILTIOBUTANOATO DE CÁLCIO;RACEALFAOXOBETAMETILPENTANOATO DE CÁLCIO;HISTIDINA;ACETATO DE LISINA;TREONINA;TIROSINA;RACEALFAOXOBETAMETILBUTANOATO DE CÁLCIO,223.24,299.46999999999997,34.147106253359595
ALFASSEBELIPASE,33296.62,44666.23,34.14643888779101
ALFATIROTROPINA,3965.59,5319.7,34.14649522517455
ALFAVELAGLICERASE,3846.77,5317.93,38.24403330586441
ALIROCUMABE,1356.2649999999999,1819.38,34.14635045511019
ALOPURINOL,18.825,26.024285714285714,38.24321760576741
ALOÍNA,17.16,23.02,34.14918414918415
ALPELISIBE,12822.962,17201.55,34.146463196256846
ALPRAZOLAM,35.43244444444444,48.983333333333334,38.24429587446534
ALPROSTADIL,68.61,92.035,34.14225331584318
ALPROSTADIL ALFACICLODEXTRINA,676.12,934.7,38.24469029166422
AMBRISENTANA,2491.105,3341.7299999999996,34.14649322288701
AMINAFTONA,44.435,59.61,34.1510070890064
AMINOFILINA,33.123333333333335,45.79,38.24091778202676
AMISSULPRIDA,99.575,137.655,38.242530755711776
AMOXICILINA,40.80800000000001,56.415,38.2449519702019
AMOXICILINA SÓDICA;SULBACTAM SÓDICO,50.08,69.22999999999999,38.23881789137378
AMOXICILINA TRI-HIDRATADA,39.64975,54.813250000000004,38.24362070378755
AMOXICILINA TRIHIDRATADA,59.17103448275862,81.80103448275862,38.24506398750553
AMOXICILINA TRIHIDRATADA;AMOXICILINA TRI-HIDRATADA,26.44,36.55,38.23751891074127
AMOXICILINA TRIHIDRATADA;CLAVULANATO DE POTÁSSIO,169.64875,234.53,38.24446098188168
AMOXICILINA;AMOXICILINA TRI-HIDRATADA,24.83666666666667,34.336666666666666,38.24989934237013
AMPICILINA,21.538181818181815,29.775454545454544,38.2449772074962
AMPICILINA SÓDICA,167.985,232.2275,38.242997886716054
ANASTROZOL,1045.638,1445.536,38.24440198233041
ANFOTERICINA B;TETRACICLINA,41.0,55.0,34.14634146341464
ANIDULAFUNGINA,328.66,454.35,38.24316923264164
ANTIMONIATO DE MEGLUMINA,320.48,443.04,38.2426360459311
ANTÍGENO DE SUPERFÍCIE DA HEPATITE B,35.14666666666667,48.586666666666666,38.23975720789075
ANTÍGENO HBS,31.97,44.2,38.25461370034409
APALUTAMIDA,9856.33,13221.92,34.146482514282695
APIXABANA,131.64499999999998,181.99,38.243002012989514
ARIPIPRAZOL,506.04512195121947,699.5773170731707,38.24405902298311
ASPARTATO DE ARGININA,43.20666666666667,57.96,34.14596512883814
ASPARTATO DE ARGININA;ÁCIDO ASCÓRBICO,31.057499999999997,41.662499999999994,34.14634146341462
ASPARTATO DE ORNITINA,70.41,94.45,34.14287743218294
ATENOLOL,17.332037037037036,23.96074074074074,38.24538159905122
ATENOLOL;BESILATO DE ANLODIPINO,52.35,72.375,38.25214899713467
ATENOLOL;CLORTALIDONA,27.189655172413794,37.58862068965517,38.246036778693714
ATORVASTATINA CÁLCICA,119.65467741935484,165.41516129032257,38.243790262030906
ATROPA BELLADONNA,7.4,9.93,34.189189189189186
AXETIL CEFUROXIMA,113.86,157.4,38.23994379062006
AXETILCEFUROXIMA,109.22473684210526,150.99684210526317,38.24418027533769
AXITINIBE,14235.485,19679.725,38.24414833776297
AZATIOPRINA,162.20666666666668,224.24,38.24339320208787
AZITROMICINA,99.76214285714286,137.91535714285715,38.2441808014778
AZITROMICINA DI-HIDRATADA,142.36672727272727,196.81363636363636,38.24412496791256
AZITROMICINA DI-HIDRATADA;AZITROMICINA,24.88,34.395,38.24356913183282
BACILLUS CEREUS,86.51,116.05,34.14634146341462
BACITRACINA;SULFATO DE NEOMICINA,9.5,12.742,34.12631578947369
BACLOFENO,17.812,24.624000000000002,38.243880529979805
BACOPA MONNIERI (L.) WETTST.,70.01,93.92,34.152263962291094
BARICITINIBE,3188.505,4277.264999999999,34.14641030827925
BELIMUMABE,2288.733333333333,3091.9900000000002,35.09612303748801
BENFOTIAMINA,45.99,61.69,34.13785605566426
BENRALIZUMABE,10218.06,13707.16,34.14640352473954
BENZBROMARONA,27.2,37.6,38.23529411764708
BENZENO;MENTOL,14.14,18.97,34.158415841584144
BENZILPENICILINA BENZATINA,203.64666666666665,281.53,38.24434478017482
BENZILPENICILINA POTÁSSICA,343.12,474.34,38.24318022849149
BENZILPENICILINA POTÁSSICA;BENZILPENICILINA PROCAÍNA,404.54,559.25,38.24343699016166
BENZNIDAZOL,65.52,90.58,38.24786324786324
BENZOATO DE ALOGLIPTINA,115.91999999999999,155.505,34.148550724637694
BENZOATO DE ALOGLIPTINA;CLORIDRATO DE METFORMINA,155.38,208.44,34.1485390655168
BENZOATO DE ALOGLIPTINA;CLORIDRATO DE PIOGLITAZONA,154.29,206.97,34.143496013999616
BENZOATO DE BENZILA,9.874285714285715,13.245714285714286,34.14351851851851
BENZOATO DE RIZATRIPTANA,18.02,24.91,38.23529411764706
BENZOCAÍNA,5.67,7.84,38.271604938271594
BENZOILMETRONIDAZOL,8.886666666666667,12.283333333333333,38.22205551387847
BESILATO DE ANLODIPINO,48.35859375,66.85328125,38.24488279293688
BESILATO DE ANLODIPINO;LOSARTANA POTÁSSICA,55.298571428571435,76.44714285714285,38.24433594254564
BESILATO DE ANLODIPINO;OLMESARTANA MEDOXOMILA,57.129090909090905,78.97818181818182,38.24512268864775
BESILATO DE ANLODIPINO;TELMISARTANA,55.77,74.814,34.14739107046798
BESILATO DE LEVANLODIPINO,74.395,99.8,34.14880032260233
BETA-AGALSIDASE,11407.67,15770.43,38.24409366680488
BETACAROTENO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA;FUMARATO FERROSO;CARBONATO DE CÁLCIO;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO;ÓXIDO DE ZINCO;COLECALCIFEROL,34.9,46.82,34.15472779369628
BETACIPIONATO DE ESTRADIOL;ACETATO DE MEDROXIPROGESTERONA,20.494999999999997,28.335,38.25323249573069
BETAEPOETINA,1845.81,2551.72,38.24391459576013
BETAINTERFERONA 1A,7912.036666666667,10937.926666666666,38.244135201597885
BETAINTERFERONA 1B,5480.98,7577.13,38.24407314020486
BETAISTINA;CLORIDRATO DE BETAISTINA,15.29,20.51,34.13996075866581
BETAMETASONA,16.146666666666665,22.019166666666667,36.36973575557392
BETAMETASONA;CETOCONAZOL,25.55666666666667,34.60666666666666,35.411503847658764
BETAMETASONA;FOSFATO DISSÓDICO DE BETAMETASONA,5.7,7.88,38.245614035087705
BETAMETASONA;MALEATO DE DEXCLORFENIRAMINA,17.864857142857144,23.965999999999998,34.15164648871685
BETAMETASONA;SULFATO DE NEOMICINA;CETOCONAZOL,21.285,28.555,34.15550857411323
BETAÍNA,1774.18,2396.85,35.0962134619937
BEZAFIBRATO,39.3825,54.445,38.24668317145941
BICALUTAMIDA,570.0020000000001,787.9939999999999,38.24407633657423
BICARBONATO DE POTÁSSIO;UNDECILENOIL ALGINATO DE SÓDIO/TEA,27.150000000000002,36.419999999999995,34.14364640883976
BICARBONATO DE SÓDIO,160.80599999999998,222.30599999999998,38.24484161038768
BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO,49.94,66.99,34.14096916299558
BILASTINA,51.78,69.46,34.14445731942835
BIMATOPROSTA,357.7288235294117,494.5382352941176,38.243888321584386
BIOTINA,299.62,401.925,34.144916894733335
BISACODIL,18.478749999999998,24.79,34.15409592099034
BISGLICINATO FERROSO,32.480000000000004,43.572,34.15024630541872
BISOPROLOL;HIDROCLOROTIAZIDA,70.59,97.59,38.249043773905655
BISSULFATO DE CLOPIDOGREL,116.499375,161.0534375,38.244035643968054
BISSULFATO DE CLOPIDOGREL;ÁCIDO ACETILSALICÍLICO,229.01,316.59,38.24287149032792
BORAGO OFFICINALIS L.,68.92999999999999,92.47,34.1505875525896
BORATO DE SÓDIO;CLORETO DE CETILPIRIDÍNIO;BENZOCAÍNA,15.364999999999998,20.61,34.1360234298731
BOSENTANA,3229.76,4464.95,38.24401813137817
BOSENTANA MONOIDRATADA,2422.3,3348.6875,38.24412748214505
BREXPIPRAZOL,352.60749999999996,473.01,34.146324170643005
BRIGATINIBE,13802.69,18515.8175,34.14644174432666
BRINZOLAMIDA,51.93,71.79,38.243789716926635
BROMAZEPAM,19.6224,27.1268,38.24404761904763
BROMAZEPAM;SULPIRIDA,20.93,28.93,38.222646918299084
BROMETO DE GLICOPIRRÔNIO,91.88,123.255,34.14780148019156
BROMETO DE GLICOPIRRÔNIO;DIPROPIONATO DE BECLOMETASONA;FUMARATO DE FORMOTEROL DI-HIDRATADO,228.86,307.01,34.14751376387311
BROMETO DE GLICOPIRRÔNIO;MALEATO DE INDACATEROL,128.17000000000002,171.94,34.149957088242154
BROMETO DE IPRATRÓPIO,10.084666666666667,13.941333333333334,38.24287697494546
BROMETO DE IPRATRÓPIO;BROMIDRATO DE FENOTEROL,11.42,15.79,38.266199649737295
BROMETO DE OTILÔNIO,55.19,74.035,34.14567856495743
BROMETO DE PINAVÉRIO,83.745,112.34333333333332,34.149302445917144
BROMETO DE PIRIDOSTIGMINA,26.49,36.62,38.24084560211401
BROMETO DE TIOTRÓPIO,244.91,338.57,38.242619737862896
BROMETO DE TIOTRÓPIO MONOIDRATADO;CLORIDRATO DE OLODATEROL,193.2,259.17,34.14596273291928
BROMETO DE UMECLIDÍNIO,111.83,150.02,34.150049181793804
BROMETO DE UMECLIDÍNIO;FUROATO DE FLUTICASONA;TRIFENATATO DE VILANTEROL,214.57,287.84,34.14736449643472
BROMIDRATO DE CITALOPRAM,96.316875,133.151875,38.24355804733075
BROMIDRATO DE DARIFENACINA,152.53000000000003,204.61399999999998,34.14672523438007
BROMIDRATO DE DEXTROMETORFANO;GUAIFENESINA,23.32,31.285,34.15523156089193
BROMIDRATO DE FENOTEROL,6.586,9.106,38.2629820832068
BROMIDRATO DE GALANTAMINA,371.0576315789474,512.9655263157895,38.244165504152775
BROMIDRATO DE VORTIOXETINA,275.4642857142857,369.52714285714285,34.147024504084
BROMOPRIDA,34.11636363636364,45.765757575757576,34.14605983088184
BUDESONIDA,34.786071428571425,48.089642857142856,38.24396053428612
BUDESONIDA MICRONIZADA,220.47,304.79,38.24556629019822
BUPRENORFINA,260.92333333333335,350.02,34.14668421119869
BUTIL BROMETO DE ESCOPOLAMINA,12.34,16.55,34.11669367909238
BUTILBROMETO DE ESCOPOLAMINA,469.18142857142857,629.3900000000001,34.14640087447136
BUTILBROMETO DE ESCOPOLAMINA;DIPIRONA,33.26142857142857,44.620000000000005,34.14937937551006
BUTILBROMETO DE ESCOPOLAMINA;DIPIRONA MONOIDRATADA,96.93272727272728,130.0309090909091,34.14551797872938
BUTILBROMETO DE ESCOPOLAMINA;METILBROMETO DE HOMATROPINA;DIPIRONA MONOIDRATADA;BROMIDRATO DE HIOSCIAMINA,13.335,17.884999999999998,34.120734908136455
BUTILBROMETO DE ESCOPOLAMINA;PARACETAMOL,14.92,20.01,34.11528150134049
CABERGOLINA,119.820625,165.644375,38.24362458466561
CAFEÍNA ANIDRA;CITRATO DE ORFENADRINA;DIPIRONA,38.31818181818182,51.403636363636366,34.149466192170806
CAFEÍNA ANIDRA;CLORIDRATO DE ISOMETEPTENO;DIPIRONA,11.69,15.68,34.13173652694612
CAFEÍNA ANIDRA;DIPIRONA,75.28333333333335,100.99,34.146557449634685
CAFEÍNA ANIDRA;MUCATO DE ISOMETEPTENO;CLORIDRATO DE ISOMETEPTENO;DIPIRONA,9.48,12.72,34.17721518987342
CAFEÍNA ANIDRA;MUCATO DE ISOMETEPTENO;DIPIRONA,94.27777777777777,126.47,34.14614024749558
CAFEÍNA ANIDRA;ÁCIDO ACETILSALICÍLICO,129.1,173.1833333333333,34.14665633875546
CAFEÍNA ANIDRA;ÁCIDO ACETILSALICÍLICO;CLORIDRATO DE FENILEFRINA;MALEATO DE DEXCLORFENIRAMINA,56.075,75.22,34.14177440927328
CAFEÍNA;CITRATO DE ORFENADRINA;DIPIRONA,6.73,9.03,34.175334323922726
CAFEÍNA;HIDRÓXIDO DE ALUMÍNIO;MALEATO DE MEPIRAMINA;ÁCIDO ACETILSALICÍLICO,44.126666666666665,59.193333333333335,34.1441305333132
CAFEÍNA;ÁCIDO ACETIL SALICILICO,115.2,154.54,34.14930555555556
CALCIPOTRIOL,66.88,89.72,34.1507177033493
CALCITONINA SINTÉTICA DE SALMÃO,164.05,226.79,38.24443767144161
CALCITRIOL,71.37333333333333,98.67,38.244909396600036
CANABIDIOL;TETRAIDROCANABINOL,2045.79,2744.35,34.14622224177457
CANAGLIFLOZINA HEMI-HIDRATADA,86.345,115.8275,34.14499971046383
CANAQUINUMABE,42670.67,57241.18,34.14642891709927
CANDESARTANA CILEXETILA,68.71700000000001,94.997,38.24381157501053
CAPECITABINA,1612.99,2229.866666666667,38.244295790219816
CAPSAICINA,45.29666666666666,60.76333333333334,34.14526455221139
CAPTOPRIL,22.546,31.16888888888889,38.24575928718572
CARBACOL,13.33,18.43,38.259564891222794
CARBAMAZEPINA,47.518095238095235,65.69190476190477,38.24608169318957
CARBIDOPA (PORT. 344/98 LISTA C 1);LEVODOPA,35.305,48.805,38.23820988528537
CARBOCISTEÍNA,13.6915,18.3675,34.15257641602454
CARBONATO CÁLCIO;COLECALCIFEROL,40.93,54.91,34.155875885658425
CARBONATO DE CÁLCIO,69.71625,93.52250000000001,34.14734728273538
CARBONATO DE CÁLCIO;ALENDRONATO DE SÓDIO TRI-HIDRATADO;COLECALCIFEROL,96.145,132.91500000000002,38.24431847729994
CARBONATO DE CÁLCIO;CARBONATO BÁSICO DE BISMUTO;BICARBONATO DE SÓDIO;CARBONATO DE MAGNÉSIO,57.865,77.625,34.14844897606497
CARBONATO DE CÁLCIO;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;COLECALCIFEROL,13.65,18.31,34.13919413919413
CARBONATO DE CÁLCIO;COLECALCIFEROL,484.71,650.2218181818181,34.14656561280314
CARBONATO DE CÁLCIO;HIDROXIDO DE MAGNESIO;HIDROXIDO DE ALUMÍNIO,23.92,32.09,34.15551839464883
CARBONATO DE CÁLCIO;HIDRÓXIDO DE ALUMÍNIO;HIDRÓXIDO DE MAGNÉSIO,81.21,108.94263157894736,34.14928158964088
CARBONATO DE CÁLCIO;LACTOGLICONATO DE CÁLCIO,11.9,15.96,34.11764705882354
CARBONATO DE LODENAFILA,76.68666666666667,102.87333333333333,34.14761366600017
CARBONATO DE LÍTIO,20.95,28.963333333333335,38.24980111376295
CARBOXIMALTOSE FERRICA,396.36,531.7,34.14572610757898
CARBOXIMETILCELULOSE SÓDICA,16.86,22.615000000000002,34.134045077105604
CARBÔMER 340,31.325000000000003,42.019999999999996,34.14205905826015
CARBÔMER;SORBITOL,27.8,37.29,34.13669064748201
CARISOPRODOL,13.37,17.94,34.1810022438295
CARISOPRODOL;PARACETAMOL;CAFEÍNA ANIDRA,10.05,13.48,34.12935323383084
CARISOPRODOL;PARACETAMOL;CAFEÍNA ANIDRA;DICLOFENACO SÓDICO,35.6416,47.8112,34.14437062309212
CARMELOSE SÓDICA,28.008181818181814,37.57181818181818,34.14586646759066
CARVEDILOL,51.69848837209302,71.47058139534884,38.24501188690239
CARVÃO VEGETAL ATIVADO,17.87,23.97,34.13542249580301
"CASSIA ANGUSTIFOLIA, VAHL",34.13,45.78,34.13419279226486
CEFACLOR,69.47200000000001,96.042,38.24562413634269
CEFADROXILA,34.72666666666667,48.00833333333333,38.24630447302746
CEFALEXINA,22.622857142857146,31.274285714285718,38.241980298055054
CEFALEXINA MONOIDRATADA,55.506206896551724,76.73413793103448,38.24424730381193
CEFALEXINA MONOIDRATADA;CEFALEXINA,15.14,20.93,38.24306472919419
CEFALOTINA SODICA,687.54,950.48,38.24359310003782
CEFAZOLINA SÓDICA,237.02,327.67,38.24571766095688
CEFOTAXIMA SÓDICA,872.73,1206.5,38.24435965304276
CEFTAZIDIMA,919.2,1270.74,38.24412532637076
CEFTRIAXONA,77.57,107.24,38.24932319195567
CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA,65.3025,89.825,37.552161096435846
CEFTRIAXONA SÓDICA,286.25875,395.73375,38.243372473330496
CEFUROXIMA SÓDICA,1573.41,2175.15,38.24432284020058
CELECOXIBE,49.019999999999996,67.76692307692308,38.24341712958606
CENTELLA ASIATICA (L.) URB.,29.89,40.1,34.158581465373025
CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO A (H3N2),1590.31,2139.847142857143,34.555347250356405
CERTOLIZUMABE PEGOL,1863.98,2576.84,38.24397257481304
CETOCONAZOL,42.78584615384615,58.155692307692306,35.92273505256951
CETOCONAZOL;DIPROPIONATO DE BETAMETASONA,17.984193548387097,24.12483870967742,34.144679019210415
CETOPROFENO,44.44085714285715,61.43828571428572,38.24730138932642
CETOPROFENO;OMEPRAZOL,37.88,50.81,34.134107708553316
CETOROLACO TROMETAMINA,37.79857142857143,52.25333333333333,38.24155611827103
CETRIMIDA,12.55,16.84,34.18326693227092
CETUXIMABE,2540.38,3511.925,38.24408159409223
CIANOCOBALAMINA,114.76249999999999,158.6525,38.24419997821589
CICLESONIDA,38.13,52.71,38.237608182533435
CICLOBENZAPRINA,20.455,27.439999999999998,34.14813004155464
CICLOPIROX,67.708,90.83,34.14958350564188
CICLOPIROX OLAMINA,19.88666666666667,26.678888888888892,34.15465415130181
CICLOSPORINA,307.8757142857143,425.62,38.24409664382193
CILASTATINA SÓDICA;IMIPENÉM MONOIDRATADO,121.49,167.95,38.24183060334183
CILOSTAZOL,40.31476190476191,55.73285714285715,38.244291940799194
CIMETIDINA,15.76,21.7875,38.24555837563452
CINARIZINA,27.635454545454547,38.20363636363636,38.24138951939209
CIPIONATO DE TESTOSTERONA,31.47,42.22,34.15951700031776
CIPROFIBRATO,63.70095238095238,88.06285714285714,38.24417665879256
CITALOPRAM,80.80333333333333,111.70416666666667,38.2420279691432
CITRATO DE CAFEÍNA,17.31,23.22,34.1421143847487
CITRATO DE CLOMIFENO,29.695,41.05,38.23876073413031
CITRATO DE CÁLCIO;COLECALCIFEROL,72.31,97.0,34.144654957820485
CITRATO DE IXAZOMIBE,16395.166666666668,21993.533333333336,34.14644559880453
CITRATO DE ORFENADRINA,21.895000000000003,29.372500000000002,34.15163279287508
CITRATO DE POTÁSSIO,37.78,50.68,34.14505029115933
CITRATO DE POTÁSSIO MONOIDRATADO,25.448333333333334,34.13666666666666,34.141070142118004
CITRATO DE SILDENAFILA,100.72882352941176,136.95494117647058,35.96400352723388
CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO,19.096666666666668,25.616666666666664,34.142084133356576
CITRATO DE SÓDIO DIHIDRATADO;CITRATO DE POTÁSSIO MONOIDRATADO;GLICOSE;CLORETO DE SÓDIO,14.031428571428572,18.824285714285715,34.15801262472002
CITRATO DE SÓDIO;ÁCIDO ASCÓRBICO,21.814999999999998,29.265,34.15081366032548
CITRATO DE TAMOXIFENO,125.45,173.42714285714285,38.24403575698911
CITRATO DE TOFACITINIBE,5014.84,6727.23,34.14645332652686
CITRATO DE ZINCO TRI-HIDRATADO;ASCORBATO DE SÓDIO;COLECALCIFEROL,23.86,32.23,35.079631181894364
CLADRIBINA,9317.69,12881.16,38.24413561730429
CLARITROMICINA,149.08625,206.10250000000002,38.24380182612415
CLAVULANATO DE POTÁSSIO;AMOXICILINA,68.91636363636363,95.27363636363636,38.24530392570706
CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA,88.59632653061225,122.47979591836736,38.24477911739097
CLAVULANATO DE POTÁSSIO;ÁCIDO CLAVULÂNICO;AMOXICILINA TRI-HIDRATADA,85.57,118.3,38.24938646721983
CLIOQUINOL;FLURANDRENOLIDA,22.3,29.91,34.125560538116595
CLIOQUINOL;HIDROCORTISONA,26.16,35.09,34.136085626911324
CLIOQUINOL;PREDNISOLONA;SULFATO DE POLIMIXINA B;BENZOCAÍNA,22.09,29.63,34.133091896785885
CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA,20.669999999999998,27.7275,34.143686502177076
